iter	Passed	Remaining
674	17132	59013
675	17157	58986
676	17182	58959
677	17206	58929
678	17231	58900
679	17267	58912
680	17301	58918
681	17334	58917
682	17370	58927
683	17400	58918
684	17432	58912
685	17458	58892
686	17487	58876
687	17513	58853
688	17540	58832
689	17575	58840
690	17605	58830
691	17641	58840
692	17675	58842
693	17706	58835
694	17735	58821
695	17763	58801
696	17787	58773
697	17812	58746
698	17838	58722
699	17863	58694
700	17909	58735
701	17953	58770
702	18009	58845
703	18042	58843
704	18085	58874
705	18111	58850
706	18143	58843
707	18171	58827
708	18198	58805
709	18225	58782
710	18252	58760
711	18277	58733
712	18305	58715
713	18344	58734
714	18371	58711
715	18397	58688
716	18426	58670
717	18457	58661
718	18484	58642
719	18511	58619
720	18537	58596
721	18566	58579
722	18597	58571
723	18626	58555
724	18652	58528
725	18677	58503
726	18704	58481
727	18731	58459
728	18757	58434
729	18782	58404
730	18807	58377
731	18832	58348
732	18857	58322
733	18887	58308
734	18912	58280
735	18938	58256
736	18963	58229
737	18989	58204
738	19016	58182
739	19040	58151
740	19070	58139
741	19096	58114
742	19123	58090
743	19149	58066
744	19177	58047
745	19203	58023
746	19230	57999
747	19259	57984
748	19287	57966
749	19328	57985
750	19362	57983
751	19401	57997
752	19435	57996
753	19462	57974
754	19490	57954
755	19518	57936
756	19548	57921
757	19577	57906
758	19606	57890
759	19633	57867
760	19659	57840
761	19685	57816
762	19716	57804
763	19745	57789
764	19773	57769
765	19801	57749
766	19829	57731
767	19855	57705
768	19881	57678
769	19906	57650
770	19931	57622
771	19956	57596
772	19982	57569
773	20008	57544
774	20035	57521
775	20061	57495
776	20087	57471
777	20113	57445
778	20139	57419
779	20168	57403
780	20196	57381
781	20220	57352
782	20246	57326
783	20273	57303
784	20298	57274
785	20323	57248
786	20353	57232
787	20379	57207
788	20404	57180
789	20430	57154
790	20456	57127
791	20481	57100
792	20508	57077
793	20534	57051
794	20560	57025
795	20586	56999
796	20611	56971
797	20637	56945
798	20662	56920
799	20688	56893
800	20714	56868
801	20741	56843
802	20766	56816
803	20792	56792
804	20818	56765
805	20844	56739
806	20870	56713
807	20895	56685
808	20920	56659
809	20947	56634
810	20973	56610
811	20999	56584
812	21025	56560
813	21050	56531
814	21078	56511
815	21106	56490
816	21131	56463
817	21156	56434
818	21180	56404
819	21205	56375
820	21230	56348
821	21255	56320
822	21280	56291
823	21306	56264
824	21330	56235
825	21356	56210
826	21381	56181
827	21406	56153
828	21439	56146
829	21467	56126
830	21494	56102
831	21520	56076
832	21545	56049
833	21587	56064
834	21614	56043
835	21640	56016
836	21665	55987
837	21689	55958
838	21714	55930
839	21740	55903
840	21765	55877
841	21795	55860
842	21820	55832
843	21844	55802
844	21868	55771
845	21892	55741
846	21917	55712
847	21943	55686
848	21968	55657
849	21993	55631
850	22021	55610
851	22045	55580
